City,LAT,LNG,Ratio 
Sydney,-33.8688,151.2093,12.2
Melbourne,-37.8136,144.9631,9.5
Brisbane,-27.4698,153.0251,6.2
Adelaide,-34.9285,138.6007,6.6
Perth,-31.9505,115.8605,6.1
Hobart,-42.8821,147.3272,5.5
Darwin,-12.4634,130.8456,4.8
Canberra,-35.2809,149.13,6.2
Alice Springs,-26.698,133.8807,4.3
Ballarat,-37.5622,143.8503,5.5
Toowoomba,-27.5598,151.9507,5.5
Bendigo,-36.757,144.2794,5.7
Cairns,-16.9186,145.7781,5.9
Newcastle,-32.9565,151.6772,6.6
Coffs Harbour,-30.2986,153.1094,7.9
Geelong,-38.1499,144.3617,7.2
Wollongong,-34.4278,150.8931,8.9
Gold Coast,-28.0167,153.4,9
Sunshine Coast,-26.65,153.0667,9
Townsville,-19.259,146.8169,4.1
