NAME	2008	2009	2010	2011	2012	2013	2014	2015	2016
Argentina	4.9	4.9	4.8	5.4	5.9	6.2	5.7	6.5	5.9
Austria	52.4	53.6	54.7	53.3	52.2	51.3	50.8	51.1	51.1
Australia	105.6	111.8	110.9	109.4	108.4	111.2	115	120.5	123.1
Belgium	48.3	50.5	51.5	53.7	54.7	55.8	57.7	58.7	59.1
Brazil	17.3	19.1	21.6	22.8	24.2	26	24.1	24.4	22.9
Canada	81.7	92.5	92.4	91.6	93	92.9	92.9	98	100.6
Chile	32.4	33.5	32.1	33.3	34.8	36.3	38.2	40.2	41
China	17.9	23.5	27.2	27.7	29.7	33.1	35.7	38.8	43.2
Colombia	16.302	17.407	18.674	20.061	21.698	23.058	24.317	25.181	25.439
Czech Republic	25.8	28.4	28.9	29.7	30.7	31.5	30.3	30.4	31
Germany	59.5	61.8	59.2	57	56.3	55.3	54.2	53.6	53.5
Denmark	128.7	139.5	135.6	134.8	132.7	126.5	124.2	119.6	120.7
Spain	81.9	84	83.5	81.8	80.6	77.1	72.7	67.8	65.2
Finland	52.8	59.3	61.1	61.3	63.6	64	65.5	66.8	67.6
France	48.6	52.5	53.7	54.8	55.2	55.6	56	56.6	57.1
Greece	55.6	57.8	60.9	63.7	64.6	65.1	63.5	62.6	60.9
Hong Kong 	51.3	55.5	59.3	59.1	61.3	62.7	65.6	67.1	66.7
Hungary	36.5	37.7	39.7	37.6	31.7	28.1	25.6	21.5	20.6
Indonesia	11.8	12.2	13.6	15.2	16.4	17	17.1	16.8	16.7
Ireland	107.7	117.5	112.6	105.2	98.8	93.2	82.4	57.8	55.5
Israel	37.7	38.8	39.5	39.6	39.5	39.7	40.3	40.8	41.5
India	10.4	9.4	9.2	8.8	8.9	9.1	9.4	10	10.5
Italy	39.1	42.5	43.7	43.8	44	43.5	42.7	42.2	41.7
Japan	62.9	65.4	62.5	63.5	62.9	62.8	62.3	61.7	62.2
Korea	74.2	76.5	76.5	79.7	80.8	82.3	84.2	88.4	91.6
Luxembourg	49	55.1	53.6	54.1	56.3	56.1	56.8	58.6	59.7
Mexico	13.4	13.6	13.3	13.7	14.1	14.7	14.8	15.5	16.5
Malaysia	49.5	58.8	59.6	60.6	63.7	68.1	68.9	71	70.4
Netherlands	110.5	118.4	118.9	118.4	118.5	114.7	113	111.9	111
Norway	71.6	81.5	82	81.6	83	85.8	89.3	95.4	101.1
New Zealand	92.3	93.7	90.7	87.4	88.5	88.7	88.3	91.8	94.4
Poland	30.3	31.9	34.2	35.2	34.1	35.1	35.6	36.1	36.5
Portugal	89	92.1	90.7	90.5	90.7	86.3	82.3	77.5	74.5
Russia	11.6	11.2	10.5	11.5	13.9	17	18	16.1	16.1
Saudi Arabia	8.9	11.1	9.8	9.2	9.8	10.6	11.4	13.8	15.1
Singapore	42	45.7	47	51.8	57.1	59.9	60.9	60.3	62.1
South Africa	42.4	41.4	40.2	38.9	39.8	38.5	37.2	36.6	34.7
Switzerland	104.4	110.1	112	114.4	117.9	119.7	122.4	125.4	128.2
United Kingdom	94.4	97	93.9	91.3	90.1	87.7	85.9	86.3	87.6
Sweden	68.8	76.8	77.2	78.1	80.5	82.3	83.2	83.9	85.3
Thailand	45.1	50.5	52.5	58.7	62.8	66.4	69.5	71.6	71.2
Turkey	12.4	14	16.1	17.2	18.2	19.6	18.7	17.9	17.7
United States	95.3	95.8	90.7	86.1	83.1	81.3	80.2	79.2	79.4
